Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2004_2,156.7,177.49,204.94,166.84,213.37,248.49,168.23,166.25,214.19,214.21,173.68,153.28,182.77,183.23,154.09,179.63,178.53,172.49,180.45,183.74,183.52,231.42,195.95,230.28,156.45,179.47,230.45,181.9,204.27,209.31,203.15,174.04,184.56,164.25,170.1,166.78,164.14,231.01,161.48,206.76,164.77,188.27,165.99,158.6,213.52,163.93,186.62,193.65,161.36,198.76,217.58
2004_3,158.95,183.48,215.18,169.14,227.66,251.46,173.76,172.58,220.85,225.6,175.98,165.47,189.32,186.48,155.08,181.03,179.03,174.39,182.6,189.3,193.08,236.97,197,234.57,157.82,181.16,236.27,186.29,219.4,212.68,210.56,177.95,188.98,165.18,173.92,168.12,163.27,239.34,165.57,215.8,168.62,192.88,168.8,159.95,217.2,168.08,194.57,198.88,166.33,202.49,222.81
2004_4,161.13,187.9,227.92,172.34,239.35,252.54,177.78,178.99,233.63,237.59,178.19,170.11,192.7,188.93,156.21,184.06,181.1,176.99,184.38,191.41,200.72,242.05,198.64,237.88,159.16,185.02,242.16,187.95,229.92,219.62,218.92,181.36,193.4,168.43,176.16,169.41,167.12,247.72,171.06,219.67,170.69,194.17,170.38,161.47,222.45,174.16,202.33,206.22,169.99,206.44,227.34
2005_1,166.09,192.56,244.16,175.08,251.9,257.39,182.34,184.46,244.63,252.77,180.67,179.51,200.73,192.36,157.64,184.18,183,178.37,187.37,199.8,210.2,246.11,199.55,240.53,160.74,187.44,248.9,189.73,239.66,224.01,226.69,187.1,198.86,171.67,179.9,170.7,168.95,256.22,173.75,230.05,173.13,196.87,174.33,163.45,227.33,181.14,209.7,212.59,170.35,209.59,233.45
2005_2,168.09,197.1,267.1,177.28,264.68,259.53,186.37,192.4,257.69,269.54,183.4,194.88,206.51,195.67,157.51,188.15,185.34,180.19,191.61,203.59,222.39,249.85,199.66,244.04,163.66,189.51,256.39,189.04,253.7,226.43,235.04,193.58,203.05,174.2,183.34,171.98,171.36,267.15,178.83,231.79,176.39,201.26,176.56,165.89,233.67,185.37,217.58,222.21,175.86,213.52,240.2
2005_3,170.8,203.99,288.18,181.01,276.82,262.83,189.96,199.5,269.73,286.99,186.47,203.19,216.86,199.21,157.49,187.98,186.53,182.32,195.36,206.92,235.16,251.4,199.95,247.19,167.08,192.01,262.58,191.66,257.19,231.67,243.13,200.64,209.66,177.75,186.11,172.49,174.3,282.14,184.8,235.41,180.06,201.13,179.92,168.41,243.64,189.78,225.61,233.02,179.45,217.08,248.43
2005_4,174.73,207.53,302.8,185.02,283.61,267.58,193.49,206.54,279.09,298.81,190.25,206.22,228.41,202.49,158.42,190.1,188.18,184.19,202.25,209.43,245.18,250.68,198.69,250.35,172.02,194.95,270.98,193.05,268.49,233.48,249.93,207.47,211.98,181.66,191.08,173.49,176.99,295.02,188.69,234.97,185.59,208.55,184.15,171.11,254.14,192.9,232.94,241.12,181.5,220.58,257.04
2006_1,178.52,212.89,314.58,186.7,286.62,269.37,195.86,212.87,285.81,306.5,192.67,216.48,235.76,205.59,158.45,192.32,191.89,187.54,205.2,210.52,252.39,249.01,196.45,250.5,175.84,196.13,279.76,193.91,273.44,235.44,255.25,213.94,214.78,185.47,190.11,174.3,180.03,304.66,192.03,236.6,188.2,208.01,187.96,174.1,263.66,195.2,238.13,249.58,184.06,222.65,265.57
2006_2,179.91,215.8,317.96,189.18,284.57,269.87,196.08,213.63,290.32,309.12,194.13,212.56,245.44,207.68,159.68,193.86,192.12,187.48,208.28,210.74,257.77,245.18,195.13,250.22,178.05,196.05,284.39,195.85,271.03,235.1,257.46,220.29,216.21,187.73,197.06,174.12,182.18,315.01,193,236.86,191,211.16,190.77,176.08,273.82,198.61,240.69,257.25,184.44,223.08,271.06
2006_3,180.89,218.02,313.69,190.62,278.79,270.53,193.46,217.28,293.58,308.54,195.01,211.31,249.22,208.19,159.4,194.44,194.35,188.32,211.61,210.85,258.33,242.17,192.9,248.53,180.05,195.9,291.33,196.37,267.33,231.52,255.9,226.64,214.55,190.98,197.69,173.39,182.83,321.58,195.02,234.05,192.62,212.33,193.04,178.7,284.25,198.83,241.33,262.72,185.65,223.39,276.71
